City,Yıl,April,August,December,February,January,July,June,March,May,November,October,September
ADANA,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli
ADIYAMAN,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Nemli
AGRI,2024,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak
AKSARAY,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak
AMASYA,2024,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Nemli
ANKARA,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
ANTALYA,2024,Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Nemli,Çok Nemli,Nemli,Çok Nemli,Çok Nemli,Çok Nemli
ARDAHAN,2024,Yarı Kurak,Nemli,Kurak,Kurak,Kurak,Nemli,Nemli,Kurak,Yarı Nemli,Kurak,Yarı Kurak,Yarı Nemli
ARTVIN,2024,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli
AYDIN,2024,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Nemli
BALIKESIR,2024,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli
BARTIN,2024,Nemli,Çok Nemli,Nemli,Nemli,Nemli,Çok Nemli,Nemli,Nemli,Nemli,Nemli,Çok Nemli,Çok Nemli
BATMAN,2024,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak
BAYBURT,2024,Yarı Nemli,Yarı Kurak,Kurak,Kurak,Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Kurak,Yarı Kurak,Yarı Kurak
BILECIK,2024,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli
BINGOL,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Nemli
BITLIS,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Çok Nemli,Nemli,Nemli,Nemli,Nemli
BOLU,2024,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli
BURDUR,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Nemli
BURSA,2024,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Nemli
CANAKKALE,2024,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Nemli
CANKIRI,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Kurak,Yarı Kurak,Yarı Kurak
CORUM,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
DENIZLI,2024,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli
DIYARBAKIR,2024,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak
DUZCE,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli
EDIRNE,2024,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli
ELAZIG,2024,Yarı Nemli,Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
ERZINCAN,2024,Yarı Kurak,Kurak,Kurak,Kurak,Kurak,Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Kurak,Yarı Kurak,Yarı Kurak
ERZURUM,2024,Yarı Kurak,Yarı Kurak,Kurak,Kurak,Kurak,Yarı Kurak,Yarı Kurak,Kurak,Yarı Nemli,Kurak,Yarı Kurak,Yarı Kurak
ESKISEHIR,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak
GAZIANTEP,2024,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli
GIRESUN,2024,Nemli,Çok Nemli,Nemli,Nemli,Nemli,Çok Nemli,Nemli,Nemli,Nemli,Çok Nemli,Çok Nemli,Çok Nemli
GUMUSHANE,2024,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak,Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
HAKKARI,2024,Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli
HATAY,2024,Nemli,Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Nemli,Nemli,Çok Nemli,Nemli,Nemli,Nemli,Çok Nemli
ICEL,2024,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Nemli
IGDIR,2024,Kurak,Kurak,Kurak,Kurak,Kurak,Kurak,Kurak,Kurak,Yarı Kurak,Kurak,Kurak,Kurak
ISPARTA,2024,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli
ISTANBUL,2024,Yarı Nemli,Nemli,Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Nemli
IZMIR,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Nemli
KAHRAMANMARAS,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Nemli
KARABUK,2024,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Nemli
KARAMAN,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak
KARS,2024,Yarı Kurak,Yarı Nemli,Kurak,Kurak,Kurak,Nemli,Yarı Nemli,Kurak,Yarı Nemli,Kurak,Yarı Kurak,Yarı Kurak
KASTAMONU,2024,Yarı Kurak,Yarı Nemli,Kurak,Kurak,Kurak,Yarı Nemli,Nemli,Yarı Kurak,Yarı Nemli,Kurak,Yarı Kurak,Yarı Nemli
KAYSERI,2024,Yarı Kurak,Yarı Kurak,Kurak,Yarı Kurak,Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Kurak,Yarı Kurak,Yarı Kurak
KILIS,2024,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli
KIRIKKALE,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
KIRKLARELI,2024,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli
KIRSEHIR,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak
KOCAELI,2024,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Çok Nemli
KONYA,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak
KUTAHYA,2024,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli
MALATYA,2024,Yarı Kurak,Kurak,Kurak,Yarı Kurak,Yarı Kurak,Kurak,Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Kurak
MANISA,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli
MARDIN,2024,Nemli,Yarı Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Yarı Kurak,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli
MUGLA,2024,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli
MUS,2024,Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli
NEVSEHIR,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
NIGDE,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak
ORDU,2024,Nemli,Çok Nemli,Nemli,Nemli,Nemli,Çok Nemli,Nemli,Nemli,Nemli,Nemli,Çok Nemli,Çok Nemli
OSMANIYE,2024,Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli
RIZE,2024,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli
SAKARYA,2024,Nemli,Çok Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli
SAMSUN,2024,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Nemli
SANLIURFA,2024,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak
SIIRT,2024,Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli
SINOP,2024,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Çok Nemli
SIRNAK,2024,Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli
SIVAS,2024,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
TEKIRDAG,2024,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli
TOKAT,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
TRABZON,2024,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Çok Nemli
TUNCELI,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Nemli
USAK,2024,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli
VAN,2024,Yarı Kurak,Kurak,Kurak,Kurak,Kurak,Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak
YALOVA,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Çok Nemli
YOZGAT,2024,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli
ZONGULDAK,2024,Nemli,Çok Nemli,Nemli,Nemli,Nemli,Çok Nemli,Çok Nemli,Nemli,Nemli,Çok Nemli,Çok Nemli,Çok Nemli
