City,Metric,January,February,March,April,May,June,July,August,September,October,November,December
BINGOL,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BITLIS,Ortalama Sıcaklık (°C),"-4,4","-3,4","1,0","7,3","12,5","18,3","22,7","23,0","18,5","11,4","4,8","-1,2"
BITLIS,Ortalama En Yüksek Sıcaklık (°C),"-0,5","1,0","5,0","12,4","17,8","24,3","29,1","29,7","25,0","16,8","9,3","2,6"
BITLIS,Ortalama En Düşük Sıcaklık (°C),"-8,3","-7,4","-2,6","2,7","7,2","11,6","15,7","16,2","11,7","6,6","1,2","-4,5"
BITLIS,Ortalama Güneşlenme Süresi (saat),"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
BITLIS,Ortalama Yağışlı Gün Sayısı,"15,00","12,17","17,42","13,75","14,17","5,17","2,42","1,75","2,25","10,00","10,08","12,92"
BITLIS,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","162,5","113,1","209,5","114,5","100,1","16,7","7,8","8,3","20,5","94,5","91,7","142,3"
BITLIS,,Ölçüm Periyodu ( 2012 - 2023)
BITLIS,En Yüksek Sıcaklık (°C),"10,1","21,9","16,7","22,3","27,4","31,5","34,6","34,3","34,0","26,4","21,7","13,3"
BITLIS,En Düşük Sıcaklık (°C),"-24,1","-21,3","-20,3","-10,0","0,1","5,2","8,1","9,9","0,0","-0,6","-10,0","-20,8"
BITLIS,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BOLU,Ortalama Sıcaklık (°C),"0,5","1,8","4,7","9,6","14,1","17,3","19,8","20,0","16,2","11,8","6,9","2,8"
BOLU,Ortalama En Yüksek Sıcaklık (°C),"5,3","7,2","11,0","16,6","21,4","24,6","27,4","28,0","24,3","19,3","13,3","7,5"
BOLU,Ortalama En Düşük Sıcaklık (°C),"-3,5","-2,6","-0,5","3,6","7,6","10,4","12,4","12,7","9,5","6,2","2,1","-1,1"
BOLU,Ortalama Güneşlenme Süresi (saat),"2,0","2,9","4,0","5,3","6,7","8,0","8,9","8,7","6,9","4,8","3,4","2,1"
BOLU,Ortalama Yağışlı Gün Sayısı,"15,53","14,42","14,72","13,41","14,03","11,94","6,16","5,19","7,17","10,57","11,84","14,73"
BOLU,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","57,7","48,7","50,9","50,8","60,4","59,9","28,3","24,7","28,3","41,0","45,9","58,8"
BOLU,,Ölçüm Periyodu ( 1929 - 2023)
BOLU,En Yüksek Sıcaklık (°C),"19,8","24,1","29,3","31,8","34,6","37,0","39,3","42,8","38,5","34,4","27,0","23,5"
BOLU,En Düşük Sıcaklık (°C),"-31,5","-25,8","-19,8","-11,5","-2,3","0,0","2,8","1,4","-2,5","-5,8","-24,8","-29,1"
BOLU,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BURDUR,Ortalama Sıcaklık (°C),"2,6","3,8","6,9","11,7","16,5","21,0","24,6","24,6","20,2","14,5","8,9","4,3"
BURDUR,Ortalama En Yüksek Sıcaklık (°C),"6,8","8,8","12,6","17,8","23,1","28,0","32,0","32,3","27,9","21,5","14,5","8,5"
BURDUR,Ortalama En Düşük Sıcaklık (°C),"-0,9","-0,3","1,9","6,1","10,2","14,0","17,0","17,0","12,9","8,4","4,1","0,9"
BURDUR,Ortalama Güneşlenme Süresi (saat),"3,8","5,0","5,9","7,0","8,9","10,7","11,8","11,0","9,2","7,3","5,5","3,4"
BURDUR,Ortalama Yağışlı Gün Sayısı,"11,28","9,64","10,05","9,48","9,64","6,30","2,80","2,22","3,13","6,02","7,06","11,02"
BURDUR,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","56,5","40,8","45,4","42,5","46,3","30,5","12,9","9,3","15,7","31,7","36,4","60,1"
BURDUR,,Ölçüm Periyodu ( 1932 - 2023)
BURDUR,En Yüksek Sıcaklık (°C),"16,8","23,4","27,8","30,7","35,4","38,7","41,0","41,6","39,0","33,6","26,5","20,5"
BURDUR,En Düşük Sıcaklık (°C),"-16,7","-15,0","-11,6","-7,0","-0,4","3,8","9,0","8,8","3,4","-2,4","-12,0","-15,3"
BURDUR,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BURSA,Ortalama Sıcaklık (°C),"5,4","6,2","8,4","12,9","17,7","22,0","24,5","24,4","20,3","15,6","11,1","7,4"
BURSA,Ortalama En Yüksek Sıcaklık (°C),"9,6","10,9","13,8","19,0","23,9","28,3","30,9","31,1","27,2","22,0","16,6","11,7"
BURSA,Ortalama En Düşük Sıcaklık (°C),"1,7","2,2","3,6","7,2","11,4","15,0","17,3","17,3","13,8","10,2","6,4","3,6"
BURSA,Ortalama Güneşlenme Süresi (saat),"2,8","3,4","4,2","5,8","7,8","9,7","10,7","10,0","7,9","5,5","4,0","2,9"
BURSA,Ortalama Yağışlı Gün Sayısı,"14,77","13,43","12,63","11,27","9,02","6,16","3,06","2,91","5,09","8,95","11,11","14,15"
BURSA,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","88,5","76,0","70,3","62,2","50,5","35,5","21,9","18,2","43,2","65,8","77,8","98,9"
BURSA,,Ölçüm Periyodu ( 1928 - 2023)
BURSA,En Yüksek Sıcaklık (°C),"25,2","26,9","32,5","36,2","37,0","41,3","43,8","42,6","40,3","37,3","32,1","27,3"
BURSA,En Düşük Sıcaklık (°C),"-20,5","-19,6","-10,5","-4,2","0,8","4,0","8,3","7,6","3,3","-1,0","-8,4","-17,9"
BURSA,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
CANAKKALE,Ortalama Sıcaklık (°C),"6,3","6,7","8,4","12,6","17,6","22,3","25,1","25,1","21,1","16,3","12,2","8,5"
CANAKKALE,Ortalama En Yüksek Sıcaklık (°C),"9,6","10,3","12,5","17,3","22,7","27,8","30,8","30,7","26,5","20,9","16,0","11,8"
CANAKKALE,Ortalama En Düşük Sıcaklık (°C),"3,2","3,4","4,8","8,3","12,7","16,7","19,4","19,7","16,1","12,2","8,6","5,4"
CANAKKALE,Ortalama Güneşlenme Süresi (saat),"3,2","4,4","5,4","7,3","9,2","10,9","11,9","11,3","9,1","6,4","4,4","3,2"
CANAKKALE,Ortalama Yağışlı Gün Sayısı,"12,33","10,37","9,77","7,96","5,64","4,13","1,71","1,34","3,29","6,41","8,89","12,32"
CANAKKALE,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","91,4","72,1","66,0","45,0","29,9","25,6","14,6","10,9","24,5","54,4","85,4","105,5"
CANAKKALE,,Ölçüm Periyodu ( 1929 - 2023)
CANAKKALE,En Yüksek Sıcaklık (°C),"20,6","21,3","27,3","30,8","38,9","38,5","39,2","39,7","35,9","31,8","27,7","22,9"
CANAKKALE,En Düşük Sıcaklık (°C),"-11,0","-11,5","-8,5","-1,6","2,3","6,6","11,2","9,4","5,9","0,4","-7,0","-10,5"
CANAKKALE,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
CANKIRI,Ortalama Sıcaklık (°C),"-0,5","1,2","5,6","11,2","15,8","19,7","23,1","22,9","18,1","12,2","5,8","1,6"
CANKIRI,Ortalama En Yüksek Sıcaklık (°C),"3,7","6,3","11,9","18,0","23,0","27,1","31,1","31,4","26,7","20,3","12,4","5,7"
CANKIRI,Ortalama En Düşük Sıcaklık (°C),"-3,9","-3,1","-0,1","4,5","8,7","11,9","14,2","14,0","9,7","5,2","0,6","-1,8"
CANKIRI,Ortalama Güneşlenme Süresi (saat),"2,2","3,6","5,2","6,3","7,9","9,5","10,7","10,0","8,5","6,3","4,0","2,0"
CANKIRI,Ortalama Yağışlı Gün Sayısı,"11,93","10,23","9,99","11,58","13,60","10,53","4,36","3,59","4,61","6,84","7,63","11,16"
CANKIRI,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","43,6","34,3","39,1","44,0","57,1","46,4","17,9","18,4","18,1","25,8","26,0","45,0"
CANKIRI,,Ölçüm Periyodu ( 1929 - 2023)
CANKIRI,En Yüksek Sıcaklık (°C),"17,6","22,0","29,0","31,0","35,5","39,6","42,4","41,8","39,8","34,2","25,1","18,2"
CANKIRI,En Düşük Sıcaklık (°C),"-25,0","-24,0","-20,5","-8,9","-3,0","1,6","4,3","4,6","-2,0","-6,3","-19,4","-18,8"
CANKIRI,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
CORUM,Ortalama Sıcaklık (°C),"-0,3","1,2","5,0","10,5","15,0","18,5","21,3","21,4","17,4","12,2","6,4","1,9"
CORUM,Ortalama En Yüksek Sıcaklık (°C),"4,3","6,5","11,4","17,5","22,2","26,0","29,1","29,6","25,6","20,0","13,0","6,5"
CORUM,Ortalama En Düşük Sıcaklık (°C),"-4,3","-3,4","-0,7","3,7","7,6","10,4","12,5","12,7","9,3","5,3","1,0","-2,0"
CORUM,Ortalama Güneşlenme Süresi (saat),"2,4","3,5","4,8","6,3","7,4","8,8","10,1","10,0","8,3","5,6","3,7","2,1"
CORUM,Ortalama Yağışlı Gün Sayısı,"12,41","10,96","11,55","11,82","13,32","10,16","4,02","2,99","4,49","7,09","8,25","11,99"
CORUM,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","39,1","29,3","39,0","46,4","61,7","55,0","19,9","15,1","21,7","27,1","33,0","43,6"
CORUM,,Ölçüm Periyodu ( 1929 - 2023)
CORUM,En Yüksek Sıcaklık (°C),"20,6","20,4","28,6","30,4","35,1","37,5","42,6","40,2","38,7","33,6","25,6","19,2"
CORUM,En Düşük Sıcaklık (°C),"-25,6","-27,2","-23,3","-9,4","-4,3","0,2","3,4","3,0","-3,0","-6,3","-15,7","-21,6"
CORUM,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
DENIZLI,Ortalama Sıcaklık (°C),"5,9","7,2","10,2","14,7","19,6","24,3","27,4","27,0","22,7","17,1","11,7","7,7"
DENIZLI,Ortalama En Yüksek Sıcaklık (°C),"10,6","12,4","16,0","21,0","26,5","31,3","34,7","34,6","30,2","24,0","17,5","12,3"
DENIZLI,Ortalama En Düşük Sıcaklık (°C),"2,4","3,1","5,4","9,2","13,4","17,5","20,3","20,0","16,0","11,5","7,2","4,2"
DENIZLI,Ortalama Güneşlenme Süresi (saat),"3,7","4,5","5,6","6,9","8,9","10,8","11,7","10,8","9,2","6,8","5,0","3,5"
DENIZLI,Ortalama Yağışlı Gün Sayısı,"12,06","10,64","11,19","10,09","8,94","5,45","2,07","2,00","3,10","5,87","7,64","12,18"
DENIZLI,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","91,0","70,0","63,3","51,2","44,1","29,2","14,2","10,7","16,1","35,2","55,0","89,3"
DENIZLI,,Ölçüm Periyodu ( 1957 - 2023)
DENIZLI,En Yüksek Sıcaklık (°C),"22,6","25,9","30,8","35,8","39,5","44,1","43,9","44,4","41,6","36,9","31,6","26,6"
DENIZLI,En Düşük Sıcaklık (°C),"-10,5","-11,4","-7,0","-2,0","2,7","7,9","12,6","11,6","6,6","-0,8","-4,5","-10,4"
DENIZLI,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
DIYARBAKIR,Ortalama Sıcaklık (°C),"1,8","3,7","8,3","13,8","19,3","26,1","31,0","30,5","25,1","17,6","9,8","4,1"
DIYARBAKIR,Ortalama En Yüksek Sıcaklık (°C),"6,8","9,2","14,5","20,5","26,6","33,6","38,4","38,3","33,4","25,4","16,4","9,2"
DIYARBAKIR,Ortalama En Düşük Sıcaklık (°C),"-2,2","-1,0","2,5","7,0","11,3","16,6","21,7","21,1","16,0","10,1","4,2","-0,1"
DIYARBAKIR,Ortalama Güneşlenme Süresi (saat),"3,9","4,9","5,6","7,2","9,6","12,1","12,4","11,6","10,0","7,5","5,5","3,9"
DIYARBAKIR,Ortalama Yağışlı Gün Sayısı,"12,25","11,32","11,82","11,21","8,73","2,63","0,46","0,32","1,07","5,74","8,19","11,49"
DIYARBAKIR,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","69,7","67,2","67,2","68,3","44,4","8,6","1,3","1,0","5,3","32,5","55,9","71,2"
DIYARBAKIR,,Ölçüm Periyodu ( 1929 - 2023)
DIYARBAKIR,En Yüksek Sıcaklık (°C),"16,9","21,8","28,3","35,3","39,8","42,0","46,2","45,9","42,2","35,7","28,4","22,5"
DIYARBAKIR,En Düşük Sıcaklık (°C),"-24,2","-21,0","-14,0","-6,1","0,8","1,8","9,9","11,4","4,0","-1,8","-12,9","-23,4"
DIYARBAKIR,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
DUZCE,Ortalama Sıcaklık (°C),"3,7","5,2","7,6","12,2","16,5","20,3","22,4","22,3","18,7","14,2","9,5","5,8"
DUZCE,Ortalama En Yüksek Sıcaklık (°C),"8,3","10,5","13,6","19,0","23,4","27,1","29,1","29,3","26,0","20,9","15,7","10,4"
DUZCE,Ortalama En Düşük Sıcaklık (°C),"0,5","1,4","3,5","7,2","11,3","14,8","16,9","17,0","13,5","9,8","5,3","2,5"
DUZCE,Ortalama Güneşlenme Süresi (saat),"2,0","3,0","3,8","5,3","6,7","7,9","8,6","8,2","6,6","4,3","2,8","1,9"
DUZCE,Ortalama Yağışlı Gün Sayısı,"15,14","13,43","13,78","12,32","11,68","9,86","6,20","5,98","7,65","10,83","11,78","15,29"
DUZCE,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","90,2","71,1","75,0","60,2","62,3","71,1","46,7","50,8","51,7","79,6","78,0","101,0"
DUZCE,,Ölçüm Periyodu ( 1959 - 2023)
DUZCE,En Yüksek Sıcaklık (°C),"26,1","26,9","32,2","34,7","39,5","39,0","42,4","42,0","38,7","38,2","31,3","29,2"
DUZCE,En Düşük Sıcaklık (°C),"-20,5","-17,3","-13,6","-3,0","0,4","6,6","8,8","7,6","4,5","-1,2","-6,8","-16,5"
DUZCE,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
EDIRNE,Ortalama Sıcaklık (°C),2.7,4.4,7.6,12.8,18.0,22.2,24.7,24.5,20.1,14.5,9.2,4.6
EDIRNE,Ortalama En Yüksek Sıcaklık (°C),6.7,9.4,13.4,19.3,24.8,29.2,32.0,32.0,27.4,20.8,14.2,8.6
EDIRNE,Ortalama En Düşük Sıcaklık (°C),-0.5,0.5,2.9,7.1,11.7,15.5,17.4,17.3,13.5,9.3,5.3,1.4
EDIRNE,Ortalama Güneşlenme Süresi (saat),2.4,3.6,4.5,6.2,8.0,9.2,10.3,9.8,7.5,5.2,3.2,2.2
EDIRNE,Ortalama Yağışlı Gün Sayısı,12.23,9.51,9.74,10.14,10.29,8.65,5.35,3.88,4.74,7.59,10.42,13.00
EDIRNE,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)",65.0,52.2,50.1,48.7,52.4,47.1,31.7,23.3,35.9,56.7,67.3,70.6
EDIRNE,,Ölçüm Periyodu ( 1930 - 2023)
EDIRNE,En Yüksek Sıcaklık (°C),20.5,23.3,28.0,33.5,37.1,42.6,44.1,41.9,39.9,35.8,28.0,22.9
EDIRNE,En Düşük Sıcaklık (°C),-19.5,-19.0,-12.0,-4.1,0.7,6.0,8.0,8.9,0.2,-3.7,-9.4,-14.9
EDIRNE,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ELAZIG,Ortalama Sıcaklık (°C),"-0,8","0,7","5,6","12,0","17,2","22,8","27,2","27,0","22,1","15,1","7,5","1,8"
ELAZIG,Ortalama En Yüksek Sıcaklık (°C),"3,0","5,2","10,9","17,9","23,7","29,8","34,3","34,4","29,5","21,8","12,8","5,6"
ELAZIG,Ortalama En Düşük Sıcaklık (°C),"-3,9","-3,0","1,0","6,4","10,9","15,4","19,4","19,3","14,6","9,0","3,2","-1,2"
ELAZIG,Ortalama Güneşlenme Süresi (saat),"2,7","3,8","5,1","6,6","8,7","11,0","11,9","11,1","9,6","6,9","4,6","2,4"
ELAZIG,Ortalama Yağışlı Gün Sayısı,"12,25","11,36","12,60","12,14","10,79","4,19","1,16","0,79","2,11","6,96","9,13","11,85"
ELAZIG,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","41,6","42,5","58,2","63,4","53,7","12,4","3,3","1,8","8,5","39,3","49,6","45,9"
ELAZIG,,Ölçüm Periyodu ( 1939 - 2023)
ELAZIG,En Yüksek Sıcaklık (°C),"13,0","18,6","26,4","32,2","36,6","38,6","42,4","42,2","39,7","32,4","24,3","19,6"
ELAZIG,En Düşük Sıcaklık (°C),"-22,6","-21,4","-17,0","-7,0","0,0","4,0","6,7","10,2","1,0","-2,2","-15,2","-22,6"
ELAZIG,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ERZINCAN,Ortalama Sıcaklık (°C),-2.9,-1.2,4.1,10.7,15.5,19.9,23.8,24.0,19.2,12.5,5.7,-0.1
ERZINCAN,Ortalama En Yüksek Sıcaklık (°C),1.7,3.7,9.5,16.8,22.3,27.1,31.5,32.1,27.5,20.0,11.7,4.5
ERZINCAN,Ortalama En Düşük Sıcaklık (°C),-6.9,-5.3,-0.7,4.8,8.8,12.2,15.6,15.5,10.9,5.9,0.8,-3.9
ERZINCAN,Ortalama Güneşlenme Süresi (saat),2.9,4.0,5.0,5.9,7.5,9.8,10.9,10.2,8.7,6.5,4.5,2.9
ERZINCAN,Ortalama Yağışlı Gün Sayısı,9.52,9.01,11.67,12.83,13.99,8.95,3.33,2.47,4.21,8.24,8.45,9.42
ERZINCAN,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)",27.8,30.2,42.8,53.4,53.4,30.8,12.2,6.9,15.6,39.0,35.6,28.5
ERZINCAN,,Ölçüm Periyodu ( 1929 - 2023)
ERZINCAN,En Yüksek Sıcaklık (°C),14.6,17.2,25.2,30.0,33.8,37.0,40.6,40.5,37.2,31.4,24.9,19.0
ERZINCAN,En Düşük Sıcaklık (°C),-31.2,-30.2,-22.4,-11.1,-4.2,2.0,5.0,5.9,0.3,-6.8,-15.6,-25.9
ERZINCAN,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ERZURUM,Ortalama Sıcaklık (°C),"-9,1","-7,7","-2,4","5,4","10,7","14,9","19,2","19,5","14,8","8,2","1,2","-5,7"
ERZURUM,Ortalama En Yüksek Sıcaklık (°C),"-3,9","-2,3","2,6","11,0","16,9","21,8","26,6","27,3","22,7","15,2","6,9","-0,9"
ERZURUM,Ortalama En Düşük Sıcaklık (°C),"-13,9","-12,6","-7,0","0,0","4,3","7,3","11,1","11,2","6,4","1,7","-3,8","-10,2"
ERZURUM,Ortalama Güneşlenme Süresi (saat),"3,4","4,4","5,2","6,3","7,9","10,2","11,3","10,7","9,1","6,9","4,9","3,2"
ERZURUM,Ortalama Yağışlı Gün Sayısı,"11,16","11,11","12,60","13,79","16,05","11,03","6,65","5,22","5,12","9,56","9,20","10,59"
ERZURUM,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","21,6","25,7","35,8","55,1","72,9","48,9","27,1","17,8","24,0","47,0","33,5","22,1"
ERZURUM,,Ölçüm Periyodu ( 1929 - 2023)
ERZURUM,En Yüksek Sıcaklık (°C),"10,4","10,6","21,4","26,5","29,6","32,3","35,6","36,5","33,3","27,0","20,7","14,0"
ERZURUM,En Düşük Sıcaklık (°C),"-36,0","-37,0","-33,2","-22,4","-7,1","-5,6","-1,8","-1,1","-6,8","-14,1","-34,3","-37,2"
ERZURUM,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ESKISEHIR,Ortalama Sıcaklık (°C),"0,0","1,6","5,2","9,9","14,9","18,9","21,9","22,0","17,5","12,1","6,0","2,0"
ESKISEHIR,Ortalama En Yüksek Sıcaklık (°C),"4,2","7,0","11,8","17,2","22,3","26,5","29,8","30,2","26,0","20,2","12,8","6,5"
ESKISEHIR,Ortalama En Düşük Sıcaklık (°C),"-3,9","-3,4","-0,9","3,1","7,3","11,1","13,7","13,8","9,2","5,0","0,2","-1,7"
ESKISEHIR,Ortalama Güneşlenme Süresi (saat),"2,6","3,9","5,0","6,3","8,2","9,7","11,3","10,4","8,7","6,0","4,3","2,5"
ESKISEHIR,Ortalama Yağışlı Gün Sayısı,"8,18","7,82","8,00","7,58","6,64","4,39","2,24","1,94","3,00","5,82","6,15","8,64"
ESKISEHIR,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","33,0","28,2","29,9","44,1","42,3","24,2","15,0","11,2","17,2","35,0","33,4","42,4"
ESKISEHIR,,Ölçüm Periyodu ( 1991 - 2023)
ESKISEHIR,En Yüksek Sıcaklık (°C),"20,3","21,8","28,1","31,1","35,0","36,8","40,6","41,6","38,4","34,2","27,1","21,4"
ESKISEHIR,En Düşük Sıcaklık (°C),"-27,8","-28,6","-12,0","-10,4","-2,2","0,5","5,0","4,8","-2,0","-6,8","-12,2","-19,2"
ESKISEHIR,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
GAZIANTEP,Ortalama Sıcaklık (°C),"3,1","4,5","8,2","13,4","18,9","24,3","28,1","27,9","23,5","16,8","9,9","5,1"
GAZIANTEP,Ortalama En Yüksek Sıcaklık (°C),"7,5","9,5","13,9","19,7","25,6","31,2","35,3","35,3","31,2","24,3","16,3","9,8"
GAZIANTEP,Ortalama En Düşük Sıcaklık (°C),"-0,6","0,2","3,1","7,3","12,0","17,2","21,2","21,1","16,3","10,2","4,6","1,2"
GAZIANTEP,Ortalama Güneşlenme Süresi (saat),"3,5","4,3","5,4","6,8","8,4","10,3","10,6","9,9","8,7","6,9","5,3","3,5"
GAZIANTEP,Ortalama Yağışlı Gün Sayısı,"13,19","11,82","11,83","9,81","7,00","2,07","0,52","0,48","1,46","5,98","8,25","11,94"
GAZIANTEP,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","102,5","81,9","73,5","52,0","30,9","8,2","6,9","5,4","7,0","36,5","61,9","97,3"
GAZIANTEP,,Ölçüm Periyodu ( 1940 - 2023)
GAZIANTEP,En Yüksek Sıcaklık (°C),"19,0","24,3","28,1","34,0","37,8","40,2","44,0","44,0","40,8","36,4","27,3","25,2"
GAZIANTEP,En Düşük Sıcaklık (°C),"-17,5","-15,6","-11,0","-4,3","0,4","4,5","9,0","10,8","3,4","-3,9","-9,7","-15,0"
GAZIANTEP,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
