City,Metric,January,February,March,April,May,June,July,August,September,October,November,December
KIRKLARELI,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
KIRSEHIR,Ortalama Sıcaklık (°C),"-0,2","1,4","5,3","10,8","15,5","19,7","23,1","23,1","18,6","12,8","6,6","2,2"
KIRSEHIR,Ortalama En Yüksek Sıcaklık (°C),"4,6","6,7","11,3","17,2","22,1","26,3","29,9","30,1","26,1","20,1","13,1","7,0"
KIRSEHIR,Ortalama En Düşük Sıcaklık (°C),"-4,2","-3,1","-0,2","4,4","8,6","12,4","15,7","15,7","11,1","6,1","1,2","-1,8"
KIRSEHIR,Ortalama Güneşlenme Süresi (saat),"3,3","4,3","5,3","6,8","8,8","10,7","12,0","11,5","9,5","7,1","5,2","3,2"
KIRSEHIR,Ortalama Yağışlı Gün Sayısı,"11,95","10,22","10,72","10,41","11,31","7,31","1,93","1,40","3,03","6,22","8,00","11,73"
KIRSEHIR,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","48,0","34,9","40,4","40,8","44,2","34,9","8,1","7,6","13,1","26,0","36,3","48,3"
KIRSEHIR,,Ölçüm Periyodu ( 1930 - 2023)
KIRSEHIR,En Yüksek Sıcaklık (°C),"19,0","20,6","28,0","30,9","34,5","36,2","40,2","40,5","39,0","33,6","26,2","19,9"
KIRSEHIR,En Düşük Sıcaklık (°C),"-28,0","-25,3","-21,8","-8,2","-1,4","2,6","5,1","5,0","-1,2","-6,6","-21,5","-24,3"
KIRSEHIR,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
KILIS,Ortalama Sıcaklık (°C),"5,8","7,1","10,7","15,5","20,7","25,3","28,2","28,1","25,2","20,0","13,0","7,7"
KILIS,Ortalama En Yüksek Sıcaklık (°C),"9,8","11,8","16,1","21,6","27,7","32,9","36,3","36,3","32,8","26,5","18,3","11,8"
KILIS,Ortalama En Düşük Sıcaklık (°C),"2,4","3,3","6,1","10,1","14,4","18,4","21,3","21,4","18,7","14,4","8,4","4,2"
KILIS,Ortalama Güneşlenme Süresi (saat),"3,8","4,8","6,0","7,8","9,3","11,1","11,6","11,0","9,8","7,2","5,3","3,7"
KILIS,Ortalama Yağışlı Gün Sayısı,"12,65","11,06","11,14","9,09","5,63","1,49","0,29","0,37","1,35","5,42","7,77","11,63"
KILIS,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","84,2","70,8","68,9","47,8","26,5","9,0","2,9","6,8","6,5","33,6","56,2","86,1"
KILIS,,Ölçüm Periyodu ( 1959 - 2023)
KILIS,En Yüksek Sıcaklık (°C),"20,9","25,1","28,8","35,4","40,2","42,5","44,2","47,6","42,5","36,5","29,9","26,3"
KILIS,En Düşük Sıcaklık (°C),"-12,0","-12,0","-6,8","-4,4","1,5","7,4","13,1","12,9","8,5","0,4","-4,4","-8,0"
KILIS,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
KOCAELI,Ortalama Sıcaklık (°C),"6,2","6,7","8,5","13,0","17,6","21,7","23,8","24,0","20,5","16,2","12,2","8,4"
KOCAELI,Ortalama En Yüksek Sıcaklık (°C),"9,7","10,6","13,2","18,5","23,3","27,5","29,6","29,8","26,2","21,1","16,5","12,0"
KOCAELI,Ortalama En Düşük Sıcaklık (°C),"3,2","3,4","4,8","8,5","12,8","16,6","19,0","19,3","16,1","12,5","8,8","5,5"
KOCAELI,Ortalama Güneşlenme Süresi (saat),"2,5","3,1","4,0","5,7","7,3","8,8","9,5","9,0","7,0","4,7","3,6","2,6"
KOCAELI,Ortalama Yağışlı Gün Sayısı,"16,93","14,92","14,01","11,29","9,82","8,38","5,78","5,08","7,26","11,39","12,40","16,20"
KOCAELI,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","92,7","76,3","71,8","51,5","48,4","56,2","45,1","42,8","58,8","85,7","79,0","108,1"
KOCAELI,,Ölçüm Periyodu ( 1929 - 2023)
KOCAELI,En Yüksek Sıcaklık (°C),"24,9","26,7","30,8","35,0","37,2","40,7","44,1","42,9","40,2","36,2","30,0","27,4"
KOCAELI,En Düşük Sıcaklık (°C),"-13,1","-18,0","-6,5","-1,0","1,8","4,0","10,1","10,9","4,9","2,4","-3,4","-8,8"
KOCAELI,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
KONYA,Ortalama Sıcaklık (°C),"-0,2","1,5","5,5","11,1","15,9","20,1","23,5","23,4","18,8","12,9","6,5","1,8"
KONYA,Ortalama En Yüksek Sıcaklık (°C),"4,6","7,0","11,7","17,5","22,4","26,6","30,2","30,2","26,0","20,1","13,1","6,7"
KONYA,Ortalama En Düşük Sıcaklık (°C),"-4,2","-3,3","-0,2","4,3","8,6","12,7","15,9","15,7","11,1","6,0","0,9","-2,3"
KONYA,Ortalama Güneşlenme Süresi (saat),"3,3","4,6","5,9","7,2","9,0","10,7","11,8","11,4","9,7","7,3","5,3","3,2"
KONYA,Ortalama Yağışlı Gün Sayısı,"9,91","8,34","8,97","8,96","10,40","6,88","2,18","1,47","3,15","6,06","6,59","10,07"
KONYA,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","38,1","28,8","29,7","31,8","43,4","26,2","7,6","6,3","13,4","29,6","32,2","42,6"
KONYA,,Ölçüm Periyodu ( 1929 - 2023)
KONYA,En Yüksek Sıcaklık (°C),"19,3","23,8","28,9","30,9","34,4","36,7","40,6","40,9","38,8","32,3","25,4","21,8"
KONYA,En Düşük Sıcaklık (°C),"-28,2","-26,5","-16,4","-8,6","-1,2","1,8","6,0","5,3","-3,0","-8,4","-20,0","-26,0"
KONYA,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
KUTAHYA,Ortalama Sıcaklık (°C),"0,4","1,8","5,0","10,0","14,6","18,2","20,8","20,8","16,7","11,9","6,9","2,5"
KUTAHYA,Ortalama En Yüksek Sıcaklık (°C),"4,7","6,7","10,8","16,3","21,2","25,0","28,1","28,5","24,6","19,1","12,9","6,7"
KUTAHYA,Ortalama En Düşük Sıcaklık (°C),"-3,3","-2,4","-0,2","3,9","7,9","10,9","13,2","13,2","9,2","5,6","2,0","-1,1"
KUTAHYA,Ortalama Güneşlenme Süresi (saat),"2,4","3,5","4,6","6,2","7,6","9,3","10,5","9,7","7,7","5,3","3,7","2,2"
KUTAHYA,Ortalama Yağışlı Gün Sayısı,"14,51","12,98","13,00","11,51","12,17","8,32","3,82","3,34","4,68","8,20","9,93","14,06"
KUTAHYA,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","72,3","59,0","57,8","50,3","55,9","40,8","19,2","18,0","23,4","40,5","49,5","76,8"
KUTAHYA,,Ölçüm Periyodu ( 1929 - 2023)
KUTAHYA,En Yüksek Sıcaklık (°C),"19,1","24,2","27,0","30,2","34,3","36,2","39,5","41,4","38,4","31,9","26,0","21,7"
KUTAHYA,En Düşük Sıcaklık (°C),"-26,3","-27,4","-16,6","-7,8","-2,8","0,5","2,6","-0,2","-3,9","-6,9","-11,0","-28,1"
KUTAHYA,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
MALATYA,Ortalama Sıcaklık (°C),"-0,2","1,5","6,8","12,9","18,0","23,1","27,1","27,1","22,5","15,6","8,0","2,2"
MALATYA,Ortalama En Yüksek Sıcaklık (°C),"3,2","5,6","11,6","18,4","24,0","29,6","34,0","34,0","29,2","21,4","12,6","5,5"
MALATYA,Ortalama En Düşük Sıcaklık (°C),"-3,3","-2,0","2,3","7,5","11,9","16,3","19,9","20,0","15,6","10,0","4,0","-0,7"
MALATYA,Ortalama Güneşlenme Süresi (saat),"3,3","4,4","5,6","7,2","9,3","11,5","12,4","11,7","10,1","7,4","5,2","3,2"
MALATYA,Ortalama Yağışlı Gün Sayısı,"10,49","10,23","10,65","10,31","9,67","4,60","0,97","0,79","1,99","6,43","8,23","10,46"
MALATYA,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","42,4","41,1","48,8","55,0","45,6","17,4","3,9","3,5","8,1","35,7","41,7","40,4"
MALATYA,,Ölçüm Periyodu ( 1929 - 2023)
MALATYA,En Yüksek Sıcaklık (°C),"15,4","20,3","27,2","33,7","36,3","40,0","42,5","42,7","39,6","34,4","25,0","18,0"
MALATYA,En Düşük Sıcaklık (°C),"-19,5","-21,2","-13,9","-6,6","0,1","4,9","10,0","9,3","3,2","-1,2","-12,0","-22,2"
MALATYA,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
MANISA,Ortalama Sıcaklık (°C),"6,6","7,9","10,5","15,1","20,3","25,2","28,0","27,7","23,4","17,8","12,2","8,1"
MANISA,Ortalama En Yüksek Sıcaklık (°C),"10,8","12,7","16,2","21,5","27,1","32,1","35,0","34,9","30,8","24,4","17,6","12,3"
MANISA,Ortalama En Düşük Sıcaklık (°C),"3,0","3,7","5,3","8,9","13,4","17,6","20,5","20,4","16,2","11,8","7,6","4,5"
MANISA,Ortalama Güneşlenme Süresi (saat),"2,7","3,7","5,1","6,1","8,1","10,1","10,8","10,2","8,6","6,2","3,9","2,3"
MANISA,Ortalama Yağışlı Gün Sayısı,"13,17","11,03","9,93","8,97","6,79","3,45","1,06","0,85","2,30","5,70","9,46","13,54"
MANISA,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","127,9","107,2","77,9","55,7","38,7","20,3","9,5","9,1","19,2","51,4","89,5","137,2"
MANISA,,Ölçüm Periyodu ( 1930 - 2023)
MANISA,En Yüksek Sıcaklık (°C),"24,2","26,4","33,5","34,7","40,6","42,4","45,5","44,7","42,4","38,2","31,6","26,4"
MANISA,En Düşük Sıcaklık (°C),"-17,5","-10,9","-6,7","-2,7","2,0","7,4","10,5","8,5","3,3","-0,9","-7,3","-9,9"
MANISA,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
MARDIN,Ortalama Sıcaklık (°C),"3,1","4,2","8,0","13,5","19,5","25,6","29,8","29,7","25,4","18,7","11,1","5,5"
MARDIN,Ortalama En Yüksek Sıcaklık (°C),"5,9","7,4","11,6","17,4","24,0","30,6","35,1","34,8","30,2","22,9","14,6","8,2"
MARDIN,Ortalama En Düşük Sıcaklık (°C),"0,6","1,4","4,7","9,8","15,1","20,3","24,6","24,8","20,9","14,7","8,1","3,0"
MARDIN,Ortalama Güneşlenme Süresi (saat),"4,5","5,2","5,9","7,3","9,7","12,1","12,4","11,4","10,3","7,7","5,9","4,4"
MARDIN,Ortalama Yağışlı Gün Sayısı,"12,02","10,58","11,67","10,28","7,34","1,52","0,47","0,24","0,71","5,13","7,71","10,80"
MARDIN,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","114,9","102,9","97,6","80,7","46,8","6,5","3,2","2,3","3,9","33,4","72,8","108,5"
MARDIN,,Ölçüm Periyodu ( 1941 - 2023)
MARDIN,En Yüksek Sıcaklık (°C),"19,4","19,5","27,5","33,6","36,1","40,0","42,5","42,0","40,5","35,6","26,1","24,1"
MARDIN,En Düşük Sıcaklık (°C),"-13,4","-14,0","-11,7","-5,3","2,6","0,6","11,8","12,8","8,0","-2,5","-9,5","-11,9"
MARDIN,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ICEL,Ortalama Sıcaklık (°C),"10,3","11,2","13,8","17,6","21,4","25,1","27,9","28,4","25,9","21,6","16,3","12,0"
ICEL,Ortalama En Yüksek Sıcaklık (°C),"14,7","15,6","18,2","21,7","25,0","28,2","30,8","31,6","30,1","26,8","21,6","16,6"
ICEL,Ortalama En Düşük Sıcaklık (°C),"6,4","7,0","9,3","13,0","17,0","21,0","24,1","24,4","21,1","16,5","11,7","8,0"
ICEL,Ortalama Güneşlenme Süresi (saat),"4,8","5,6","6,8","7,7","8,6","9,9","10,1","9,9","9,2","7,6","5,7","4,7"
ICEL,Ortalama Yağışlı Gün Sayısı,"10,52","9,15","7,79","6,63","5,10","2,27","0,90","0,79","1,69","4,87","6,64","10,30"
ICEL,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","119,5","85,1","56,2","33,9","23,6","10,2","11,3","7,2","11,9","37,8","77,3","136,9"
ICEL,,Ölçüm Periyodu ( 1940 - 2023)
ICEL,En Yüksek Sıcaklık (°C),"25,2","26,5","29,8","34,7","36,0","40,0","38,1","39,8","41,5","37,5","31,0","27,0"
ICEL,En Düşük Sıcaklık (°C),"-6,3","-6,6","-2,2","0,6","7,0","12,0","16,1","15,0","11,0","2,7","-3,3","-3,0"
ICEL,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
MUGLA,Ortalama Sıcaklık (°C),"5,3","6,1","8,5","12,7","17,7","22,8","26,4","26,3","21,9","16,2","10,8","7,0"
MUGLA,Ortalama En Yüksek Sıcaklık (°C),"9,8","11,0","14,1","18,9","24,3","29,6","33,5","33,6","29,3","23,2","16,7","11,6"
MUGLA,Ortalama En Düşük Sıcaklık (°C),"1,6","1,9","3,5","7,0","11,4","16,1","19,7","19,6","15,3","10,3","5,9","3,2"
MUGLA,Ortalama Güneşlenme Süresi (saat),"3,4","4,4","5,7","7,3","8,7","10,5","11,4","10,9","9,4","6,7","4,6","3,3"
MUGLA,Ortalama Yağışlı Gün Sayısı,"14,89","12,22","10,50","8,63","7,46","3,79","1,51","1,40","2,68","6,30","9,73","14,49"
MUGLA,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","245,5","176,5","122,0","64,0","51,0","24,6","11,6","14,6","23,0","72,1","137,0","264,2"
MUGLA,,Ölçüm Periyodu ( 1928 - 2023)
MUGLA,En Yüksek Sıcaklık (°C),"20,9","25,5","28,8","31,6","39,4","40,8","42,1","41,2","39,2","36,8","29,0","23,8"
MUGLA,En Düşük Sıcaklık (°C),"-12,6","-9,9","-8,5","-3,6","1,0","6,7","10,5","9,0","5,6","0,1","-7,0","-9,0"
MUGLA,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
MUS,Ortalama Sıcaklık (°C),"-7,0","-5,6","1,2","9,2","14,8","20,1","25,0","25,1","20,2","12,8","4,8","-2,5"
MUS,Ortalama En Yüksek Sıcaklık (°C),"-2,9","-1,1","6,0","14,9","21,3","27,6","33,0","33,2","28,4","20,0","10,1","1,3"
MUS,Ortalama En Düşük Sıcaklık (°C),"-10,6","-9,4","-2,7","4,4","8,9","12,8","17,1","17,1","12,4","7,0","0,7","-5,6"
MUS,Ortalama Güneşlenme Süresi (saat),"1,9","2,8","4,2","5,7","7,9","10,2","10,8","10,4","9,1","6,2","3,6","2,0"
MUS,Ortalama Yağışlı Gün Sayısı,"13,60","12,15","14,42","14,33","14,08","6,33","2,07","1,55","2,93","9,18","9,75","12,45"
MUS,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","88,4","96,8","108,5","102,5","69,0","26,9","7,6","5,7","15,3","62,9","87,9","88,1"
MUS,,Ölçüm Periyodu ( 1964 - 2023)
MUS,En Yüksek Sıcaklık (°C),"10,2","15,0","22,8","30,0","32,2","37,4","41,6","41,2","37,0","30,6","22,8","16,0"
MUS,En Düşük Sıcaklık (°C),"-32,6","-34,4","-31,4","-10,2","-2,4","2,2","3,6","8,0","0,0","-3,0","-25,8","-32,0"
MUS,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
NEVSEHIR,Ortalama Sıcaklık (°C),"-0,2","0,9","4,9","10,1","14,5","18,3","21,3","21,2","17,3","12,1","6,7","2,1"
NEVSEHIR,Ortalama En Yüksek Sıcaklık (°C),"3,9","5,5","10,2","15,9","20,6","24,8","28,5","28,6","24,5","18,3","11,8","6,2"
NEVSEHIR,Ortalama En Düşük Sıcaklık (°C),"-3,7","-2,7","0,6","5,1","8,8","11,6","13,6","13,5","10,4","6,8","2,4","-1,3"
NEVSEHIR,Ortalama Güneşlenme Süresi (saat),"3,2","4,2","5,3","6,6","8,4","10,5","11,9","11,3","9,4","6,5","4,6","3,1"
NEVSEHIR,Ortalama Yağışlı Gün Sayısı,"12,34","12,18","13,14","12,46","12,85","8,26","2,32","1,69","3,45","7,06","8,65","12,26"
NEVSEHIR,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","45,7","40,9","47,8","50,3","56,8","37,8","9,8","7,8","13,8","28,5","34,3","48,7"
NEVSEHIR,,Ölçüm Periyodu ( 1959 - 2023)
NEVSEHIR,En Yüksek Sıcaklık (°C),"19,8","19,6","28,0","31,6","32,6","35,0","39,5","38,2","37,4","32,0","27,6","23,0"
NEVSEHIR,En Düşük Sıcaklık (°C),"-21,2","-23,6","-18,0","-12,5","-2,3","1,3","3,8","3,1","-1,2","-7,6","-14,0","-19,5"
NEVSEHIR,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
NIGDE,Ortalama Sıcaklık (°C),"-0,3","1,1","5,1","10,6","15,1","19,2","22,5","22,4","18,1","12,6","6,6","1,9"
NIGDE,Ortalama En Yüksek Sıcaklık (°C),"4,9","6,5","10,9","16,8","21,5","25,8","29,4","29,7","25,7","19,7","13,1","7,2"
NIGDE,Ortalama En Düşük Sıcaklık (°C),"-4,6","-3,4","-0,2","4,4","8,4","11,9","14,8","14,6","10,4","6,0","1,2","-2,4"
NIGDE,Ortalama Güneşlenme Süresi (saat),"3,8","4,9","5,7","6,9","8,4","10,3","11,5","11,1","9,9","7,4","5,4","3,8"
NIGDE,Ortalama Yağışlı Gün Sayısı,"10,83","10,27","11,39","11,10","11,73","6,97","1,81","1,52","2,90","6,40","7,40","10,64"
NIGDE,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","35,4","33,0","36,1","41,2","48,1","28,7","5,2","6,7","10,6","25,9","31,1","41,0"
NIGDE,,Ölçüm Periyodu ( 1935 - 2023)
NIGDE,En Yüksek Sıcaklık (°C),"19,9","20,5","26,4","30,8","33,0","35,0","38,5","39,7","37,3","32,0","25,0","21,2"
NIGDE,En Düşük Sıcaklık (°C),"-25,6","-24,2","-23,9","-6,9","-2,6","3,5","6,6","6,5","-0,7","-6,2","-19,5","-24,0"
NIGDE,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ORDU,Ortalama Sıcaklık (°C),"7,0","7,0","8,2","11,5","15,7","20,4","23,2","23,5","20,3","16,2","12,3","9,1"
ORDU,Ortalama En Yüksek Sıcaklık (°C),"11,0","11,1","12,2","15,3","19,3","24,1","26,8","27,4","24,4","20,3","16,6","13,2"
ORDU,Ortalama En Düşük Sıcaklık (°C),"4,0","4,0","5,2","8,4","12,5","16,8","19,6","20,1","17,0","13,1","8,9","6,0"
ORDU,Ortalama Güneşlenme Süresi (saat),"2,5","3,1","3,3","4,4","5,6","6,8","6,3","6,1","5,2","4,2","3,4","2,5"
ORDU,Ortalama Yağışlı Gün Sayısı,"14,27","13,81","15,47","14,25","13,55","11,34","9,77","9,78","11,86","14,23","12,95","14,34"
ORDU,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","102,8","84,6","83,7","67,1","56,8","71,4","66,6","69,7","83,8","131,7","120,4","113,1"
ORDU,,Ölçüm Periyodu ( 1959 - 2023)
ORDU,En Yüksek Sıcaklık (°C),"25,8","28,3","32,8","36,8","35,6","37,3","37,1","36,3","36,4","34,2","32,4","29,7"
ORDU,En Düşük Sıcaklık (°C),"-7,2","-6,7","-4,7","-1,4","3,4","8,4","12,6","13,0","8,2","2,5","-1,5","-3,2"
ORDU,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
OSMANIYE,Ortalama Sıcaklık (°C),"8,8","10,2","13,1","17,2","21,4","25,2","28,0","28,6","25,8","21,2","14,7","10,3"
OSMANIYE,Ortalama En Yüksek Sıcaklık (°C),"14,7","16,2","19,1","23,6","27,9","31,2","33,7","34,4","32,3","28,4","21,8","16,4"
OSMANIYE,Ortalama En Düşük Sıcaklık (°C),"3,6","4,6","7,3","10,9","15,0","19,0","22,5","23,2","19,5","14,5","8,5","5,2"
OSMANIYE,Ortalama Güneşlenme Süresi (saat),"2,6","3,0","4,0","4,8","5,9","6,3","6,3","6,0","5,6","4,4","3,1","2,6"
OSMANIYE,Ortalama Yağışlı Gün Sayısı,"9,70","9,05","10,57","9,30","7,03","3,35","1,38","1,24","3,24","6,51","7,05","8,92"
OSMANIYE,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","105,0","94,5","117,8","81,0","69,9","40,4","17,5","10,8","34,9","66,7","89,4","88,9"
OSMANIYE,,Ölçüm Periyodu ( 1987 - 2023)
OSMANIYE,En Yüksek Sıcaklık (°C),"24,9","28,0","32,0","36,5","41,7","42,6","42,8","45,6","45,0","38,4","31,7","29,0"
OSMANIYE,En Düşük Sıcaklık (°C),"-8,5","-6,8","-4,0","0,1","4,6","11,5","15,0","15,0","7,8","4,1","-4,5","-5,4"
OSMANIYE,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
RIZE,Ortalama Sıcaklık (°C),"6,8","6,8","8,1","11,7","16,0","20,3","22,9","23,3","20,3","16,4","12,3","8,8"
RIZE,Ortalama En Yüksek Sıcaklık (°C),"10,7","10,8","11,9","15,4","19,4","23,6","26,0","26,6","24,0","20,4","16,5","12,9"
RIZE,Ortalama En Düşük Sıcaklık (°C),"3,8","3,7","4,9","8,4","12,7","16,8","19,6","20,1","17,0","13,1","9,1","5,8"
RIZE,Ortalama Güneşlenme Süresi (saat),"2,3","3,1","3,6","4,6","5,7","6,6","5,4","5,2","5,0","4,2","3,0","2,2"
RIZE,Ortalama Yağışlı Gün Sayısı,"14,64","14,32","15,81","14,54","14,24","14,18","13,67","14,22","14,64","14,79","13,56","14,16"
RIZE,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","230,8","185,9","161,4","96,0","96,2","134,9","151,2","194,9","257,6","294,3","254,5","242,3"
RIZE,,Ölçüm Periyodu ( 1928 - 2023)
RIZE,En Yüksek Sıcaklık (°C),"26,6","28,1","32,6","35,8","38,2","36,1","35,4","35,6","35,0","33,8","30,4","26,7"
RIZE,En Düşük Sıcaklık (°C),"-6,5","-6,6","-7,0","-2,8","4,0","7,8","12,0","13,4","4,6","2,5","-2,6","-4,0"
